Movie,LeadStudio,AudienceScore,Genre,Year,Id
The Heartbreak Kid,Paramount,41,Comedy,2007,61
Smokin' Aces,Universal,64,Action,2007,62
Good Luck Chuck,Lionsgate,61,Comedy,2007,63
Zodiac,Paramount,73,Thriller,2007,64
Mr. Magorium's Wonder Emporium,Independent,56,Fantasy,2007,65
We Own the Night,Sony,63,Drama,2007,66
Mr. Brooks,MGM,75,Thriller,2007,67
The Nanny Diaries,Weinstein,52,Comedy,2007,68
Nancy Drew,Independent,61,Thriller,2007,69
The Mist,Weinstein,64,Horror,2007,70
The Reaping,Universal,53,Horror,2007,71
Grindhouse,Weinstein,86,Action,2007,72
Sicko,Weinstein,87,Documentary,2007,73
Across the Universe,Independent,84,Romance,2007,74
The Hills Have Eyes 2,Independent,50,Horror,2007,75
Vacancy,Sony,46,Comedy,2007,76
Waitress,Independent,67,Romance,2007,77
Into the Wild,Paramount,90,Drama,2007,78
Walk Hard: The Dewey Cox Story,Sony,55,Comedy,2007,79
Next,Paramount,59,Thriller,2007,80
Hostel: Part II,Lionsgate,45,Horror,2007,81
The Kite Runner,Paramount,85,Drama,2007,82
Happily N'Ever After,Lionsgate,43,Animation,2007,83
The Invasion,Warner Bros,43,Thriller,2007,84
Lions for Lambs,Independent,48,Drama,2007,85
Daddy Day Camp,Sony,63,Comedy,2007,86
Shoot 'Em Up,Warner Bros,66,Action,2007,87
The Darjeeling Limited,Fox,79,Drama,2007,88
In the Land of Women,Warner Bros,72,Comedy,2007,89
Dragon Wars (aka D-War),Mediaplex,44,Action,2007,90
Pathfinder: Legend of the Ghost Warrior,Universal,41,Action,2007,91
The Dark Knight,Warner Bros,96,Thriller,2008,92
Iron Man,Paramount,91,Action,2008,93
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,59,Action,2008,94
Hancock,Sony,67,Action,2008,95
WALL-E,Disney,89,Animation,2008,96
Kung Fu Panda,Paramount,83,Animation,2008,97
Madagascar: Escape 2 Africa,Paramount,73,Animation,2008,98
Twilight,Summit,82,Romance,2008,99
Quantum of Solace,MGM,62,Action,2008,100
Dr. Seuss' Horton Hears a Who!,Fox,75,Animation,2008,101
Sex and the City,Warner Bros,81,Comedy,2008,102
Gran Torino,Warner Bros,90,Drama,2008,103
Mamma Mia!,Universal,76,Comedy,2008,104
The Chronicles of Narnia: Prince Caspian,Disney,78,Action,2008,105
Slumdog Millionaire,Independent,90,Crime,2008,106
The Incredible Hulk,Universal,75,Action,2008,107
Wanted,Universal,72,Action,2008,108
Get Smart,Warner Bros,73,Action,2008,109
Four Christmases,Warner Bros,52,Comedy,2008,110
Tropic Thunder,Paramount,69,Comedy,2008,111
Bedtime Stories,Disney,63,Comedy,2008,112
Bolt,Disney,76,Animation,2008,113
Marley and Me,Fox,77,Comedy,2008,114
The Mummy: Tomb of the Dragon Emperor,Universal,40,Action,2008,115
Journey to the Center of the Earth,Warner Bros,55,Action,2008,116
Eagle Eye,Paramount,72,Action,2008,117
Step Brothers,Sony,68,Comedy,2008,118
You Don't Mess with the Zohan,Sony,50,Comedy,2008,119
Yes Man,Warner Bros,72,Comedy,2008,120
10 000 B.C.,Warner Bros,44,Adventure,2008,121
Beverly Hills Chihuahua,Disney,56,Adventure,2008,122
High School Musical 3: Senior Year,Disney,76,Comedy,2008,123
Pineapple Express,Sony,74,Action,2008,124
Valkyrie,MGM,66,Thriller,2008,125
21,Sony,73,Crime,2008,126
What Happens in Vegas,Fox,72,Comedy,2008,127
Jumper,Fox,50,Action,2008,128
Cloverfield,Paramount,67,Action,2008,129
The Curious Case of Benjamin Button,Warner Bros,81,Fantasy,2008,130
27 Dresses,Fox,71,Comedy,2008,131
Hellboy II: The Golden Army,Universal,70,Action,2008,132
The Day the Earth Stood Still,Fox,34,Thriller,2008,133
Vantage Point,Sony,61,Adventure,2008,134
The Spiderwick Chronicles,Paramount,67,Fantasy,2008,135
Fool's Gold,Warner Bros,53,Adventure,2008,136
Role Models,Universal,75,Comedy,2008,137
The Happening,Fox,29,Thriller,2008,138
Forgetting Sarah Marshall,Independent,75,Comedy,2008,139
Burn After Reading,Relativity Media,64,Comedy,2008,140
Baby Mama,Independent,59,Comedy,2008,141
Seven Pounds,Sony,77,Drama,2008,142
Step Up 2: The Streets,Disney,81,Drama,2008,143
Saw V,Independent,63,Crime,2008,144
The Strangers,Relativity Media,48,Horror,2008,145
The Forbidden Kingdom,Relativity Media,65,Action,2008,146
The Tale of Despereaux,Universal,46,Animation,2008,147
The House Bunny,Sony,54,Comedy,2008,148
Nim's Island,Independent,50,Adventure,2008,149
Australia,Fox,69,Adventure,2008,150
Made of Honor,Sony,61,Comedy,2008,151
College Road Trip,Buena Vista,56,Adventure,2008,152
The Sisterhood of the Traveling Pants 2,Warner Bros,67,Comedy,2008,153
Speed Racer,Warner Bros,61,Action,2008,154
Prom Night,Independent,46,Horror,2008,155
Rambo,Lionsgate,70,Action,2008,156
Welcome Home. Roscoe Jenkins,Universal,64,Comedy,2008,157
Tyler Perry's Meet the Browns,Independent,36,Drama,2008,158
Nights in Rodanthe,Warner Bros,56,Drama,2008,159
Max Payne,Fox,36,Action,2008,160
Righteous Kill,Overture,44,Crime,2008,161
Lakeview Terrace,Sony,44,Crime,2008,162
Body of Lies,Warner Bros,65,Action,2008,163
Meet the Spartans,Independent,31,Comedy,2008,164
Harold and Kumar Escape from Guantanamo Bay,Warner Bros,65,Adventure,2008,165
First Sunday,Sony,59,Comedy,2008,166
The Secret Life of Bees,Fox,78,Drama,2008,167
Tyler Perry's The Family That Preys,Independent,36,Drama,2008,168
Death Race,Universal,69,Action,2008,169
Changeling,Independent,84,Drama,2008,170
Star Wars: The Clone Wars,Independent,46,Animation,2008,171
Semi-Pro,Warner Bros,41,Comedy,2008,172
Fireproof,Independent,51,Drama,2008,173
Drillbit Taylor,Paramount,49,Comedy,2008,174
The Love Guru,Paramount,38,Comedy,2008,175
Definitely. Maybe,Universal,72,Comedy,2008,176
Milk,Universal,88,Biography,2008,177
Transporter 3,Independent,58,Action,2008,178
Quarantine,Sony,46,Horror,2008,179
Nick and Norah's Infinite Playlist,Sony,67,Comedy,2008,180
The Eye,Lionsgate,51,Horror,2008,181
Zack and Miri Make a Porno,Weinstein,70,Romance,2008,182
Leatherheads,Universal,41,Comedy,2008,183
Mirrors,Independent,49,Horror,2008,184
Space Chimps,Independent,37,Animation,2008,185
The Bank Job,Independent,74,Thriller,2008,186
Untraceable,Independent,56,Thriller,2008,187
The Women,Warner Bros,41,Drama,2008,188
One Missed Call,Warner Bros,36,Horror,2008,189
The Other Boleyn Girl,Independent,65,Drama,2008,190
Street Kings,Fox,62,Action,2008,191
Shutter,Fox,40,Horror,2008,192
Superhero Movie,Weinstein,36,Comedy,2008,193
W.,Lionsgate,42,Drama,2008,194
Never Back Down,Summit,37,Action,2008,195
Traitor,Liberty Starz,66,Thriller,2008,196
Vicky Cristina Barcelona,Weinstein,73,Romance,2008,197
Babylon A.D.,Fox,32,Action,2008,198
The X-Files: I Want to Believe,Fox,34,Thriller,2008,199
Mad Money,Independent,51,Comedy,2008,200
Appaloosa,Warner Bros,55,Action,2008,201
Igor,Independent,42,Animation,2008,202
My Best Friend's Girl,Lionsgate,51,Comedy,2008,203
Doubt,Independent,75,Drama,2008,204
The Spirit,Lionsgate,29,Action,2008,205
Kit Kittredge: An American Girl,Warner Bros,26,Drama,2008,206
The Ruins,Paramount,32,Horror,2008,207
88 Minutes,Sony,51,Drama,2008,208
Swing Vote,Disney,44,Comedy,2008,209
Pride & Glory,Warner Bros,54,Crime,2008,210
Bangkok Dangerous,Lionsgate,33,Action,2008,211
Disaster Movie,Lionsgate,28,Comedy,2008,212
The Duchess,Paramount,68,Drama,2008,213
The Haunting of Molly Hartley,Independent,22,Horror,2008,214
Ghost Town,Paramount,60,Comedy,2008,215
Religulous,Lionsgate,78,Documentary,2008,216
Rachel Getting Married,Independent,61,Drama,2008,217
The Pirates Who Don't Do Anything,Universal,65,Animation,2008,218
Under the Same Moon,Weinstein,37,Drama,2008,219
Miss Pettigrew Lives for a Day,Independent,70,Comedy,2008,220
Soul Men,Weinstein,42,Comedy,2008,221
Meet Dave,Fox,42,Adventure,2008,222
The Longshots,Independent,39,Comedy,2008,223
Be Kind Rewind,New Line,57,Comedy,2008,224
Doomsday,Relativity Media,47,Action,2008,225
Stop-Loss,Paramount,27,Drama,2008,226
Penelope,Summit,74,Comedy,2008,227
The Express,Independent,73,Biography,2008,228
Smart People,Independent,41,Comedy,2008,229
The Visitor,Independent,83,Drama,2008,230
The Boy in the Striped Pyjamas,Independent,84,Drama,2008,231
Sex Drive,Summit,61,Adventure,2008,232
Cadillac Records,Sony,64,Biography,2008,233
Punisher: War Zone,Lionsgate,47,Action,2008,234
Miracle at St. Anna,Disney,68,Action,2008,235
City of Ember,Independent,48,Adventure,2008,236
In Bruges,Focus,85,Crime,2008,237
Expelled: No Intelligence Allowed,Universal,42,Documentary,2008,238
Over Her Dead Body,New Line,47,Comedy,2008,239
Avatar,Fox,92,Action,2009,240
Transformers: Revenge of the Fallen,Paramount,76,Action,2009,241
Harry Potter and the Half-Blood Prince,Warner Bros,75,Adventure,2009,242
The Twilight Saga: New Moon,Summit,78,Drama,2009,243
Up,Disney,86,Animation,2009,244
The Hangover,Warner Bros,87,Comedy,2009,245
Star Trek,Paramount,91,Action,2009,246
The Blind Side,Warner Bros,90,Biography,2009,247
Alvin and the Chipmunks: The Squeakquel,Independent,59,Animation,2009,248
Sherlock Holmes,Warner Bros,81,Action,2009,249
Monsters Vs. Aliens,Paramount,65,Animation,2009,250
Ice Age: Dawn of the Dinosaurs,Fox,72,Animation,2009,251
X-Men Origins: Wolverine,Fox,72,Action,2009,252
Night at the Museum: Battle of the Smithsonian,Fox,60,Action,2009,253
2012,Sony,63,Action,2009,254
The Proposal,Disney,74,Comedy,2009,255
Fast and Furious,Universal,76,Action,2009,256
G.I. Joe: The Rise of Cobra,Paramount,62,Action,2009,257
Paul Blart: Mall Cop,Sony,50,Action,2009,258
Taken,Fox,83,Action,2009,259
A Christmas Carol,Disney,72,Animation,2009,260
Angels & Demons,Sony,65,Mystery,2009,261
Terminator Salvation,Warner Bros,64,Action,2009,262
Cloudy with a Chance of Meatballs,Sony,70,Animation,2009,263
Inglourious Basterds,Universal,87,Adventure,2009,264
G-Force,Disney,50,Action,2009,265
District 9,Independent,81,Action,2009,266
It's Complicated,Universal,63,Comedy,2009,267
Couples Retreat,Universal,47,Comedy,2009,268
Paranormal Activity,Independent,56,Horror,2009,269
Watchmen,Warner Bros,68,Action,2009,270
The Princess and the Frog,Disney,72,Animation,2009,271
Public Enemies,Universal,65,Biography,2009,272
Julie & Julia,Sony,69,Biography,2009,273
He's Just Not That Into You,Warner Bros,60,Comedy,2009,274
The Ugly Truth,Independent,68,Comedy,2009,275
Up in the Air,Paramount,76,Drama,2009,276
Knowing,Summit,50,Drama,2009,277
Hannah Montana: The Movie,Disney,66,Comedy,2009,278
Where the Wild Things Are,Warner Bros,59,Adventure,2009,279
Zombieland,Sony,87,Action,2009,280
Coraline,Universal,77,Animation,2009,281
Law Abiding Citizen,Independent,77,Crime,2009,282
Hotel for Dogs,Paramount,57,Comedy,2009,283
Michael Jackson's This Is It,Sony,82,Documentary,2009,284
I Love You Man,Paramount,72,Comedy,2009,285
Obsessed,Sony,50,Drama,2009,286
Race to Witch Mountain,Buena Vista,50,Action,2009,287
The Final Destination,Warner Bros,52,Horror,2009,288
The Taking of Pelham 1 2 3,Sony,60,Action,2009,289
Friday the 13th,Paramount,52,Horror,2009,290
17 Again,Independent,70,Comedy,2009,291
The Time Traveler's Wife,Paramount,65,Drama,2009,292
Bruno,Universal,48,Comedy,2009,293
Bride Wars,Fox,56,Comedy,2009,294
The Haunting in Connecticut,Lionsgate,51,Drama,2009,295
Ghosts of Girlfriends Past,Warner Bros,47,Comedy,2009,296
Funny People,Universal,58,Comedy,2009,297
My Bloody Valentine 3-D,Lionsgate,48,Crime,2009,298
Old Dogs,Buena Vista,49,Comedy,2009,299
Land of the Lost,Universal,38,Drama,2009,300
My Sister's Keeper,Warner Bros,73,Drama,2009,301
Underworld: Rise of the Lycans,Sony,68,Action,2009,302
Confessions of a Shopaholic,Disney,53,Comedy,2009,303
The Lovely Bones,Paramount,57,Drama,2009,304
Year One,Sony,31,Adventure,2009,305
The Unborn,Relativity Media,39,Horror,2009,306
Planet 51,Independent,45,Animation,2009,307
Drag Me to Hell,Universal,61,Horror,2009,308
Orphan,Warner Bros,65,Horror,2009,309
Duplicity,Universal,38,Romance,2009,310
Surrogates,Buena Vista,42,Action,2009,311
Ninja Assassin,Warner Bros,57,Action,2009,312
Invictus,Warner Bros,74,Biography,2009,313
State of Play,Universal,71,Crime,2009,314
Notorious,Fox,66,Biography,2009,315
The Pink Panther 2,Sony,47,Adventure,2009,316
All About Steve,Fox,35,Comedy,2009,317
Halloween II,Independent,45,Horror,2009,318
The Informant!,Warner Bros,42,Comedy,2009,319
The Men Who Stare at Goats,Independent,43,Comedy,2009,320
(500) Days of Summer,Fox,81,Comedy,2009,321
Push,Summit,47,Action,2009,322
9,Focus,58,Animation,2009,323
The Soloist,Paramount,59,Drama,2009,324
Did You Hear About the Morgans?,Sony,31,Comedy,2009,325
The Stepfather,Sony,48,Mystery,2009,326
The Uninvited,Paramount,52,Drama,2009,327
Brothers,Lionsgate,62,Drama,2009,328
Saw VI,Independent,67,Horror,2009,329
Dance Flick,Paramount,35,Action,2009,330
The Fourth Kind,Universal,44,Mystery,2009,331
The International,Sony,39,Action,2009,332
Aliens in the Attic,Fox,46,Adventure,2009,333
Observe and Report,Warner Bros,40,Comedy,2009,334
Love Happens,Universal,40,Drama,2009,335
Fame,MGM,43,Comedy,2009,336
Fantastic Mr. Fox,Fox,80,Animation,2009,337
Gamer,Lionsgate,43,Action,2009,338
Nine,Weinstein,40,Drama,2009,339
Astro Boy,Summit,53,Animation,2009,340
The Invention of Lying,Warner Bros,47,Comedy,2009,341
Inkheart,Warner Bros,51,Adventure,2009,342
Fired Up!,Independent,52,Comedy,2009,343
The Hurt Locker,Independent,83,Drama,2009,344
Jennifer's Body,Fox,37,Comedy,2009,345
Imagine That,Paramount,44,Comedy,2009,346
Adventureland,Miramax,56,Comedy,2009,347
Armored,Sony,34,Action,2009,348
A Perfect Getaway,Universal,50,Mystery,2009,349
The Box,Warner Bros,27,Drama,2009,350
I Love You Beth Cooper,Fox,38,Comedy,2009,351
Amelia,Independent,35,Adventure,2009,352
Cirque du Freak: The Vampire's Assistant,Universal,50,Action,2009,353
Crank: High Voltage,Lionsgate,54,Action,2009,354
Whip It,Independent,73,Drama,2009,355
An Education,Sony,78,Drama,2009,356
12 Rounds,Fox,52,Action,2009,357
Sunshine Cleaning,Independent,59,Comedy,2009,358
Sorority Row,Summit,38,Horror,2009,359
Extract,Miramax,37,Comedy,2009,360
Not Easily Broken,Independent,66,Drama,2009,361
Pandorum,Independent,49,Action,2009,362
Whiteout,Warner Bros,28,Action,2009,363
Next Day Air,Summit,27,Action,2009,364
Away We Go,Focus,74,Comedy,2009,365
Dragonball Evolution,Fox,28,Action,2009,366
A Serious Man,Universal,64,Drama,2009,367
Everybody's Fine,Miramax,55,Drama,2009,368
Street Fighter: The Legend of Chun-Li,Fox,28,Action,2009,369
My Life in Ruins,Independent,43,Comedy,2009,370
Pirate Radio,Focus,72,Comedy,2009,371
The Road,Weinstein,65,Adventure,2009,372
Taking Woodstock,Focus,48,Comedy,2009,373
Post Grad,Fox,31,Comedy,2009,374
Whatever Works,Independent,63,Comedy,2009,375
Bandslam,Summit,60,Comedy,2009,376
127 Hours,Independent,84,Adventure,2010,377
A Nightmare on Elm Street,Warner Bros,40,Horror,2010,378
Alice in Wonderland,Disney,72,Adventure,2010,379
All About Steve,Independent,35,Comedy,2010,380
Alpha and Omega,Crest,41,Animation,2010,381
Black Swan,Fox,86,Drama,2010,382
Brooklyn's Finest,Independent,47,Action,2010,383
Buried,Independent,63,Drama,2010,384
Burlesque,Paramount,66,Drama,2010,385
Case 39,Independent,42,Horror,2010,386
Cats & Dogs: The Revenge of Kitty Galore,Independent,43,Action,2010,387
Charlie St. Cloud,Universal,62,Fantasy,2010,388
City Island,Independent,77,Comedy,2010,389
Clash of the Titans,Warner Bros,48,Action,2010,390
Conviction,Independent,71,Biography,2010,391
Cop Out,Warner Bros,45,Action,2010,392
Country Strong,Sony,56,Drama,2010,393
Cyrus,Independent,51,Comedy,2010,394
Date Night,Fox,58,Comedy,2010,395
Daybreakers,Lionsgate,50,Action,2010,396
Dear John,Sony,66,Drama,2010,397
Death at a Funeral,Independent,48,Comedy,2010,398
Despicable Me,Universal,81,Animation,2010,399
Devil,Independent,45,Horror,2010,400
Diary of a Wimpy Kid,Independent,49,Comedy,2010,401
Dinner for Schmucks,Paramount,47,Comedy,2010,402
Due Date,Warner Bros,56,Comedy,2010,403
Easy A,Sony,75,Comedy,2010,404
Eat Pray Love,Sony,46,Drama,2010,405
Edge of Darkness,Warner Bros,56,Crime,2010,406
Extraordinary Measures,CBS,55,Drama,2010,407
Faster,CBS,50,Action,2010,408
For Colored Girls,Independent,73,Drama,2010,409
From Paris with Love,Independent,57,Action,2010,410
Furry Vengeance,Summit,36,Comedy,2010,411
Get Him to the Greek,Universal,63,Comedy,2010,412
Going the Distance,Warner Bros,56,Comedy,2010,413
Green Zone,Universal,60,Action,2010,414
Greenberg,Independent,40,Comedy,2010,415
Grown Ups,Independent,59,Comedy,2010,416
Gulliver's Travels,Fox,31,Comedy,2010,417
Harry Potter and the Deathly Hallows Part 1,Warner Bros,87,Adventure,2010,418
Hot Tub Time Machine,MGM,57,Adventure,2010,419
How to Train Your Dragon,Paramount,90,Animation,2010,420
I Love You Phillip Morris,Independent,57,Comedy,2010,421
Inception,Warner Bros,93,Action,2010,422
Iron Man 2,Paramount,80,Action,2010,423
Jackass 3-D,Paramount,72,Documentary,2010,424
Jonah Hex,Warner Bros,24,Action,2010,425
Just Wright,Fox,58,Comedy,2010,426
Kick-Ass,Independent,83,Action,2010,427
Killers,Lionsgate,45,Action,2010,428
Knight and Day,Fox,52,Action,2010,429
Leap Year,Universal,49,Comedy,2010,430
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros,65,Animation,2010,431
Legion,Independent,36,Action,2010,432
Letters to Juliet,Summit,62,Comedy,2010,433
Life as We Know It,Independent,62,Comedy,2010,434
Little Fockers,Independent,40,Comedy,2010,435
Love & Other Drugs,Fox,55,Comedy,2010,436
MacGruber,Independent,33,Action,2010,437
Machete,Independent,66,Action,2010,438
Marmaduke,Fox,46,Comedy,2010,439
Megamind,Paramount,73,Animation,2010,440
Morning Glory,Independent,54,Comedy,2010,441
My Soul to Take,Relativity Media,29,Horror,2010,442
Nanny McPhee Returns,Universal,54,Comedy,2010,443
Never Let Me Go,Independent,70,Drama,2010,444
Our Family Wedding,Independent,49,Comedy,2010,445
Paranormal Activity 2,Paramount,65,Horror,2010,446
Percy Jackson & the Olympians: The Lightning Thief,Fox,57,Action,2010,447
Piranha 3-D,Weinstein,45,Comedy,2010,448
Please Give,Sony,62,Comedy,2010,449
Predators,Fox,52,Action,2010,450
Prince of Persia: The Sands of Time,Disney,71,Action,2010,451
Red,Summit,72,Action,2010,452
Remember Me,Summit,70,Drama,2010,453
Repo Men,Universal,43,Action,2010,454
Resident Evil: Afterlife,Highlight Communications,53,Action,2010,455
Robin Hood,Universal,59,Action,2010,456
Salt,Sony,62,Action,2010,457
Saw 3-D,Independent,47,Crime,2010,458
Scott Pilgrim vs. the World,Universal,83,Action,2010,459
Sex and the City 2,Warner Bros,49,Comedy,2010,460
She's Out of My League,Paramount,60,Comedy,2010,461
Shrek Forever After,Paramount,64,Animation,2010,462
Shutter Island,Paramount,73,Drama,2010,463
Skyline,Independent,19,Action,2010,464
Solitary Man,Independent,47,Comedy,2010,465
Step Up 3D,Summit,67,Drama,2010,466
Stone,Independent,20,Drama,2010,467
Takers,Sony,57,Action,2010,468
Tangled,Disney,88,Animation,2010,469
The A-Team,Fox,71,Action,2010,470
The American,Universal,37,Crime,2010,471
The Back-up Plan,CBS,47,Comedy,2010,472
The Book of Eli,Independent,68,Action,2010,473
The Bounty Hunter,Sony,41,Action,2010,474
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,63,Adventure,2010,475
The Crazies,Liberty Starz,54,Horror,2010,476
The Expendables,Independent,58,Action,2010,477
The Fighter,Paramount,88,Drama,2010,478
The Ghost Writer,Summit,68,Mystery,2010,479
The Joneses,Independent,47,Comedy,2010,480
The Karate Kid,Sony,75,Action,2010,481
The Kids Are All Right,Independent,72,Comedy,2010,482
The King's Speech,Independent,93,Biography,2010,483
The Last Airbender,Paramount,42,Action,2010,484
The Last Exorcism,Independent,32,Drama,2010,485
The Last Song,Disney,66,Drama,2010,486
The Losers,Warner Bros,55,Action,2010,487
The Next Three Days,Lionsgate,66,Crime,2010,488
The Other Guys,Sony,57,Action,2010,489
The Runaways,Independent,56,Biography,2010,490
The Social Network,Sony,89,Biography,2010,491
The Sorcerer's Apprentice,Disney,57,Action,2010,492
The Spy Next Door,Relativity Media,46,Action,2010,493
The Switch,Independent,44,Comedy,2010,494
The Tourist,Sony,44,Thriller,2010,495
The Town,Warner Bros,83,Crime,2010,496
The Twilight Saga: Eclipse,Summit,74,Drama,2010,497
The Wolfman,Universal,38,Drama,2010,498
Tooth Fairy,Fox,46,Comedy,2010,499
Toy Story 3,Disney,91,Animation,2010,500
Tron: Legacy,Independent,67,Action,2010,501
True Grit,Paramount,86,Adventure,2010,502
Unstoppable,Fox,73,Action,2010,503
Valentine's Day,Warner Bros,54,Comedy,2010,504
Vampires Suck,Independent,32,Comedy,2010,505
Wall Street: Money Never Sleeps,Independent,43,Drama,2010,506
When in Rome,Disney,44,Comedy,2010,507
Why Did I Get Married Too?,Lionsgate,67,Comedy,2010,508
Yogi Bear,Universal,36,Comedy,2010,509
You Again,Independent,45,Comedy,2010,510
You Will Meet a Tall Dark Stranger,Independent,35,Comedy,2010,511
Youth in Revolt,Weinstein,52,Comedy,2010,512
30 Minutes or Less,Independent,48,Comedy,2011,513
50/50,Independent,93,Comedy,2011,514
A Dangerous Method,Independent,89,Drama,2011,515
A Very Harold and Kumar Christmas,Lionsgate,71,Comedy,2011,516
Abduction,Vertigo,46,Action,2011,517
Anonymous,Relativity Media,66,Drama,2011,518
Another Earth,Independent,74,Fantasy,2011,519
Apollo 18,Weinstein,31,Horror,2011,520
Arthur,Warner Bros,49,Comedy,2011,521
Arthur Christmas,Aardman Animations,82,Animation,2011,522
Average,Universal,62,Drama,2011,523
Bad Teacher,Independent,38,Comedy,2011,524
Battle: Los Angeles,Relativity Media,50,Action,2011,525
Beastly,CBS,50,Romance,2011,526
Beginners,Independent,80,Comedy,2011,527
Bridesmaids,Relativity Media,77,Comedy,2011,528
Captain America: The First Avenger,Disney,75,Action,2011,529
Cars 2,Pixar,56,Animation,2011,530
Cedar Rapids,Fox,61,Comedy,2011,531
Colombiana,Sony,55,Action,2011,532
Conan the Barbarian,Lionsgate,34,Action,2011,533
Contagion,Warner Bros,63,Thriller,2011,534
Cowboys and Aliens,Universal,50,Action,2011,535
Crazy Stupid Love,Warner Bros,81,Romance,2011,536
Diary of a Wimpy Kid 2: Rodrick Rules,Fox,63,Comedy,2011,537
Dolphin Tale,Independent,81,Drama,2011,538
Don't Be Afraid Of The Dark,Miramax,37,Horror,2011,539
Dream House,Morgan Creek,38,Horror,2011,540
Drive,Independent,79,Thriller,2011,541
Drive Angry,Independent,38,Action,2011,542
Dylan Dog: Dead of Night,Independent,28,Horror,2011,543
Everything Must Go,Reliance,53,Drama,2011,544
Extremely Loud and Incredibly Close,Warner Bros,62,Drama,2011,545
Fast Five,Universal,83,Action,2011,546
Final Destination 5,New Line,56,Horror,2011,547
Footloose,Spyglass Entertainment,71,Drama,2011,548
Friends With Benefits,Warner Bros,68,Romance,2011,549
Fright Night,DreamWorks,68,Horror,2011,550
Gnomeo and Juliet,Disney,52,Animation,2011,551
Green Lantern,Warner Bros,48,Action,2011,552
Hall Pass,Warner Bros,44,Comedy,2011,553
Hanna,Universal,67,Action,2011,554
Happy Feet 2,Village Roadshow,59,Animation,2011,555
Harry Potter and the Deathly Hallows Part 2,Warner Bros,92,Fantasy,2011,556
Hop,Relativity Media,50,Animation,2011,557
Horrible Bosses,Warner Bros,72,Comedy,2011,558
Hugo,Paramount,84,Adventure,2011,559
I Am Number Four,Paramount,57,Thriller,2011,560
Immortals,Relativity Media,59,Action,2011,561
In Time,Regency Enterprises,55,Thriller,2011,562
Insidious,Sony,65,Horror,2011,563
J.Edgar,Warner Bros,84,Drama,2011,564
Jack and Jill,Happy Madison,59,Comedy,2011,565
